video_id,suggestions,response
GDXalnUbHYY_000031.mp4,[],"In this video, a dog is seen running on a wooden floor, while a woman holds a broom nearby. The dog is running with its tail wagging, creating a playful atmosphere. Meanwhile, the woman is trying to get the dog to come over using the broom, which can be seen as a tool for gentle guidance and interaction with the dog. The sounds in the video include the dog's movements and noises, the woman's voice and the broom's movements as she tries to coax the dog over."
keLE6HCvm4o_000030.mp4,[],"In the video, a man is playing a long-necked stringed instrument, which is likely a sitar. He is also singing along with his performance. Additionally, he has his mouth open, possibly engaging in some breathing technique or using his mouth to shape or amplify the sound of the instrument. The man is seated on a chair in front of a bookshelf, which suggests he might be performing in a dedicated practice space or a home setting."
WCUOOS-CtZI_000131.mp4,[],"In the video, a person is standing on a balance board, bouncing the tennis ball on the paddle using the board. The person is actively engaging in a game, possibly playing a table tennis version. The bouncing of the tennis ball and the position of the paddle create the sounds of the ball hitting the paddle and bouncing. The person is likely making contact and catching the ball multiple times as they try to control its trajectory and stay on the balance board."
WcPOGKf6RE8_000110.mp4,[],"In the video, a child is sitting in a high chair while a dog is barking at her. The child appears to be either playing with or interacting with the dog, and the dog's bark is a response to the child's actions or presence. No other distinctive sounds or actions are visible in the video."
70RN67npErE_000008.mp4,[],"In the video, two people are playing ping pong on a table, one on each side. The man on the left is playing with a white ping pong ball, while the woman on the right is holding a paddle. There is a bench in the background near the table, and two chairs are visible. In addition, the video features an overhead view of the table where they play.\n\nThe sounds present in the video include the bouncing of the ping pong ball and the scraping or clicking sounds of the paddles as the players make contact with the ball. The overall atmosphere of the video conveys a fun and lively environment, with the players engaged in a friendly game."
kqcMkJGvx-E_000104.mp4,[],"In the video, a woman is holding a cell phone and pointing it towards another person, while a group of individuals sits around her. She also points the phone at another person. This interaction might be part of a conversation or sharing of content among the group. The background noise includes people talking, which suggests that the scene is taking place in a social setting or common area."
CxSALNdzjKs_000125.mp4,[],"In the video, a person is lighting a small blue LED light on a white table. The person is also holding a lit match to the LED light, indicating the process of igniting it. The person is heard talking, indicating an active engagement with the lighting process. Additionally, there are sounds of matches being lit and igniting the LED light. The combination of the person talking, the match lights, and the LED light igniting creates a captivating scene of technological interaction with nature."
JefjXywAVzs_000181.mp4,[],"In the video, a person is typing on a cell phone, while another person is filming the scene. The camera person is capturing the individual's actions and using a cell phone, possibly to document a process or share the content on social media platforms. Additionally, a laptop is visible on a surface, suggesting that the person may be using the device for other tasks or multimedia activities."
cAcUuNgYYr4_000082.mp4,[],"In this video, there is a group of people sitting around a table in what appears to be an interior bus space. The individuals are engaging in a conversation, likely discussing work-related matters. The scene depicts a mix of adults sitting in chairs, some of them are working on their laptops, and there are multiple chairs around the table. The sounds include the background hum of the bus or a meeting space and the sound of the individuals talking. The action of people engaging in a conversation around a table indicates that they are collaborating or discussing work-related topics."
WMXkrLwPVCU_000098.mp4,[],"In the video, a person is riding on an animal, and both the person and the zebra are running through the field. The person appears to be riding bareback on the zebra. The zebra has its mouth open, possibly trying to communicate or expressing some discomfort. The background of the field includes several trees."
g7lFa-fTWpM_000000.mp4,[],"In the video, a person is taking a photo of a group of children sitting on a table. They are all sitting on a wooden table, with some of them sitting cross-legged. A couple of the kids are playing a game, while another child is sitting in front of a keyboard. Additionally, a keyboard and a microphone are placed nearby. Throughout the video, a couple of kids are making noise or using the keyboard, creating a lively atmosphere."
23J1LFGj910_000064.mp4,[],"In the video, a person is working on a piece of wood on a workbench. They are positioning a drill to drill a hole, which generates a drilling noise. The person is focused on the task, and there are no other people or actions visible in the frame."
L7n3LkVpkwo_000030.mp4,[],"In this video, a person is working on a motorcycle, which is on a wooden stand. They are tightening nuts on the back of the motorcycle, specifically on the side. The person can be heard making noises such as ""huh"" and other sounds as they work on the motorcycle. The motorcycle itself has a small bicycle on it, further suggesting that it's an old model motorcycle."
dcfjgDYMJSk_000000.mp4,[],"In the video, a young man is performing a trick on a skateboard, jumping high and doing tricks in the air. He is surrounded by two other individuals who are watching him perform. As the boy jumps, he can be heard saying ""come on!"" This suggests that he is focused and might be encouraging himself to execute the trick perfectly. The three individuals present in the room are likely watching and supporting the skateboarder's performance."
_259c5CKaTU_000005.mp4,[],"In the video, there is a small cat approaching and staring at a large bird. The cat appears to be trying to catch the bird. The sounds heard in the video are the cat's growls, which indicate that it's trying to express its aggression or playfulness towards the bird. The cat's movement towards the bird and its focus on the bird indicate that it's trying to catch it, but the outcome is unclear."
